S.No,HEA combinations,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,W,Si,SC,C,Density_calc,dHmix,dSmix,dGmix,Tm,n.Para,Atom.Size.Diff,Elect.Diff,VEC,Phases,
113,CoCrFeNiMo0.3,0,23,23,23,23,0,0,0,0,0,7,0,0,0,0,0,0,0,8.374393129,-4.153596539,12.82599837,426.2309224,1638.269287,5.902321137,2.377731963,0.127279646,8.093023256,MIP,
114,CoCrFeNiNb0.25,0,24,24,24,24,0,0,0,0,6,0,0,0,0,0,0,0,0,8.220116521,-7.640138408,12.70837022,421.4119843,1619.028721,3.147391633,3.422566258,0.107142824,8.058823529,MIP,
115,CoCrFeNiTi0.2,0,24,24,24,24,0,0,5,0,0,0,0,0,0,0,0,0,0,7.926436279,-7.346938776,12.56917544,408.1727091,1567.326205,3.148694856,3.658435996,0.111625792,8.047619048,FCC,
116,CoCrFeNiV,0,20,20,20,20,0,0,0,20,0,0,0,0,0,0,0,0,0,7.70338428,-8.96,13.38161053,419.2797342,1615.019241,2.819949262,2.213558747,0.115134704,7.6,MIP,
117,CoCrFeNiV0.25,0,24,24,24,24,0,0,0,6,0,0,0,0,0,0,0,0,0,8.039665753,-5.591695502,12.70837022,410.784214,1578.190609,4.207582807,1.335027542,0.103916389,8.058823529,FCC,
118,CoCrFeNiV0.5,0,22,22,22,22,0,0,0,11,0,0,0,0,0,0,0,0,0,7.912837028,-7.012345679,13.14594406,413.5548991,1591.516091,3.495662829,1.757830503,0.108979554,7.888888889,MIP,
119,CoCrFeNiV0.7,0,21,21,21,21,0,0,0,15,0,0,0,0,0,0,0,0,0,7.822778129,-7.913082843,13.30882902,415.8572534,1601.383539,3.152734132,1.980681889,0.111952101,7.765957447,MIP,
120,CoCrFeNiV0.8,0,21,21,21,21,0,0,0,17,0,0,0,0,0,0,0,0,0,7.781040559,-8.298611111,13.35141737,417.0072112,1606.076589,3.023438281,2.069154559,0.113161635,7.708333333,MIP,
121,CoCrFeNiV0.9,0,20,20,20,20,0,0,0,18,0,0,0,0,0,0,0,0,0,7.74128875,-8.646397334,13.37453678,418.1491763,1610.619457,2.913877644,2.146135286,0.114216451,7.653061224,MIP,
122,CoCrFeNiW0.2,0,24,24,24,24,0,0,0,0,0,0,0,0,0,5,0,0,0,8.906166192,-3.537414966,12.56917544,440.6660026,1692.079042,6.982869935,2.065570286,0.148759039,8.142857143,FCC,
123,CoCrFeNiW0.5,0,22,22,22,22,0,0,0,0,0,0,0,0,0,11,0,0,0,9.827912573,-3.259259259,13.14594406,481.875296,1854.419988,8.581371969,3.012227708,0.192642444,8,MIP,
124,CoCrMoNbTi,0,20,20,0,0,0,0,20,0,20,20,0,0,0,0,0,0,0,7.790279977,-13.44,13.38161053,529.1503242,2038.236834,2.301345118,6.534212985,0.227191549,6,MIP,
125,CoCrMoNbTi0.2,0,24,24,0,0,0,0,5,0,24,24,0,0,0,0,0,0,0,8.547804774,-12.33560091,12.56917544,546.2139225,2097.394804,2.415431057,6.049819476,0.222844933,6.380952381,MIP,
126,CoCrMoNbTi0.4,0,23,23,0,0,0,0,9,0,23,23,0,0,0,0,0,0,0,8.327142669,-12.76859504,13.01133249,541.0069404,2080.935735,2.398838096,6.235777745,0.224942601,6.272727273,MIP,
127,CoCrMoNbTi0.5,0,22,22,0,0,0,0,11,0,22,22,0,0,0,0,0,0,0,8.225679421,-12.9382716,13.14594406,538.7066514,2073.162136,2.383972839,6.308580241,0.225684145,6.222222222,MIP,
128,CoCrMoNbTi1.0,0,20,20,0,0,0,0,20,0,20,20,0,0,0,0,0,0,0,7.790279977,-13.44,13.38161053,529.1503242,2038.236834,2.301345118,6.534212985,0.227191549,6,MIP,
129,Cr0.5MoNbTaVW  ,0,0,4.12,0,0,0,0,0,8.1,14.7,15.2,0,0,28.7,29.15,0,0,0,8.316443537,-11.85552913,13.11222243,538.5371739,2098.548251,3.189060782,5.547820989,0.229618606,6.218670092,BCC,
130,Cr20Fe6Co34Ni34Mo6,0,34,20,6,34,0,0,0,0,0,6,0,0,0,0,0,0,0,8.587067955,-4.2928,11.58277271,419.0245945,1602.912293,5.061964947,2.18471415,0.120166551,8.5,FCC,
131,Cr2MoNbTaVW,0,0,14.67,0,0,0,0,0,7.2,13.1,13.5,0,0,25.5,25.92,0,0,0,8.432507118,-10.43925029,12.95220194,520.3707697,2016.149404,3.621525556,4.999935727,0.217993303,6.481745017,BCC,
132,CrFeCoNiCuTi0.5,0,18,18,18,18,18,0,9,0,0,0,0,0,0,0,0,0,0,7.841713198,-3.702479339,14.69798576,372.0107329,1440.230486,6.80172384,4.822178394,0.122359719,8.363636364,MIP,
133,CrFeTaVW,0,0,25,25,0,0,0,0,25,0,0,0,0,0,25,0,0,0,10.65175637,-2.5,11.52629192,568.1798676,2173,11.2780156,3.988919302,0.293001706,6.25,MIP,
134,CrMn0.3FeVCu0.06,0,0,30,30,0,2,9,0,30,0,0,0,0,0,0,0,0,0,7.07566865,2.186791383,11.38813601,433.4125033,1656.692131,10.05002344,3.081938936,0.098349024,6.476190476,MIP,
135,CrMn0.5FeVCu0.10,0,0,28,28,0,3,14,0,28,0,0,0,0,0,0,0,0,0,7.114770999,2.37654321,11.98251164,421.5294505,1614.938051,9.519724682,3.248968031,0.10315808,6.555555556,MIP,
136,CrMn0.7FeVCu0.14,0,0,26,26,0,4,18,0,26,0,0,0,0,0,0,0,0,0,7.149092989,2.520616319,12.32346653,411.9592169,1580.336714,9.061824011,3.361580698,0.106926652,6.625,MIP,
137,CrMnFeVCu0.20,0,0,24,24,0,5,24,0,24,0,0,0,0,0,0,0,0,0,7.19336934,2.675736961,12.56917544,400.6190634,1538.283298,8.509140942,3.466126823,0.111239155,6.714285714,MIP,
138,CrMo0.5NbTa0.5TiZr,0,0,12.31,0,0,0,0,11.3,0,22,11.4,21.6,0,21.4,0,0,0,0,6.688462792,0.548833099,12.16301106,449.4959004,1726.371343,9.118112061,4.272753209,0.150308699,6.47430394,MIP,
139,CrMoNbTaVW  ,0,0,16.67,0,0,0,0,0,16.7,16.7,16.7,0,0,16.7,16.67,0,0,0,6.379904251,1.259789338,12.09791567,446.9424325,1716.210128,9.49080518,4.280072995,0.148005245,6.427357941,BCC,
140,CrMoNbTiV,0,0,20,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,7.32940384,-4.32,13.38161053,557.7647115,2148.41881,7.501039509,5.618669177,0.224535075,5.2,BCC,
141,CrMoNbTiZr,0,0,20,0,0,0,0,20,0,20,20,20,0,0,0,0,0,0,7.304112348,-6.4,13.38161053,546.7740196,2106.092795,4.974703192,8.19461295,0.274546899,5,MIP,
142,CrNbTiVZr,0,0,20,0,0,0,0,20,20,20,0,20,0,0,0,0,0,0,6.56,-4.64,13.38,580.609528,2236.4,6.45,7.67,0.12,4.8,MIP,
143,Cu0.25AlCoCrFeNiTi0.5,17,17,17,17,17,4,0,9,0,0,0,0,0,0,0,0,0,0,6.555763738,-15.50094518,15.54594215,345.8442641,1343.3844,1.621226963,6.583863842,0.134073873,7.086956522,BCC,
144,Cu0.5AlCoCrFeNiTi0.5,17,17,17,17,17,8,0,8,0,0,0,0,0,0,0,0,0,0,6.647723986,-13.41666667,15.85804053,340.8463734,1325.570478,1.889632854,6.457723041,0.134091594,7.25,BCC,
145,Fe33.5Ni33.5Cr15Mn10Al3Ti5,3,0,15,34,34,0,10,5,0,0,0,0,0,0,0,0,0,0,7.5808311,-10.0974,12.4927989,386.2813635,1482.843696,2.17256681,4.853637233,0.13300812,7.92,MIP,
146,Fe33.5Ni33.5Cr15Mn10Al4Ti4,4,0,15,34,34,0,10,4,0,0,0,0,0,0,0,0,0,0,7.557719697,-9.7426,12.51380718,383.5316131,1472.405702,2.242065514,4.78716918,0.131911296,7.91,MIP,
147,Fe33.5Ni33.5Cr15Mn10Al5Ti3,5,0,15,34,34,0,10,3,0,0,0,0,0,0,0,0,0,0,7.221917382,-11.27873016,12.94078723,369.3521255,1420.305016,1.94300606,5.306087331,0.132894994,7.666666667,MIP,
148,Hf0.5Mo0.5NbTiZr,0,0,0,0,0,0,0,25,0,25,13,25,13,0,0,0,0,0,7.889823331,-0.25,12.96707842,546.8122337,2102.85867,123.239563,5.730437906,0.258988417,4.5,BCC,
149,Hf0.5Mo0.5NbTiZrC0.1,0,0,0,0,0,0,0,13,0,25,13,25,24,0,0,0,0,0,7.826605251,-6.472337894,13.60418835,546.1732103,2105.584046,4.999854231,9.450575175,0.298721248,4.487804878,MIP,
150,Hf0.5Mo0.5NbTiZrC0.3,0,0,0,0,0,0,0,13,0,25,13,24,24,0,0,0,0,1,7.704334843,-17.22011898,14.16626487,546.3815775,2111.003024,1.961342036,13.92424922,0.356784662,4.465116279,MIP,
151,Hf0.75NbTa0.5Ti1.5Zr1.25,0,0,0,0,0,0,0,38,0,0,0,31,19,13,0,0,0,0,8.431908695,2.36,12.84151644,557.1020651,2141.385887,13.13826368,4.915964063,0.118594899,4.3,BCC,
152,Hf1.375Nb0.25Ta0.25Ti1.75Zr1.375,0,0,0,0,0,0,0,35,0,5,0,28,28,5,0,0,0,0,8.493765586,0.98,11.44944891,532.6585373,2036.537698,26.98433807,4.495453867,0.114716771,4.1,BCC,
153,HfMo0.25NbTaTiZr,0,0,0,0,0,0,0,19,0,19,5,19,19,19,0,0,0,0,9.922611245,2.467120181,14.33614554,593.2816897,2293.630178,14.91525807,5.272716799,0.189533381,4.476190476,BCC,
154,HfMo0.5NbTaTiZr,0,0,0,0,0,0,0,18,0,18,9,18,18,18,0,0,0,0,9.933453944,2.247933884,14.69798576,595.2103931,2304.310893,16.85257906,5.486928917,0.232176194,4.545454545,BCC,
155,HfMo0.75NbTaTiZr,0,0,0,0,0,0,0,17,0,17,13,17,17,17,0,0,0,0,9.943533814,2.056710775,14.85564568,597.427759,2314.308612,18.68924344,5.653424959,0.262094227,4.608695652,BCC,
156,HfMoNbTaTi,0,0,0,0,0,0,0,20,0,20,20,0,20,20,0,0,0,0,9.910915715,2.72,13.38161053,592.5022515,2282.194003,12.57155081,4.99441746,0.118253964,4.4,BCC,
157,HfMoNbTaTiZr,0,0,0,0,0,0,0,17,0,17,17,17,17,17,0,0,0,0,9.910915715,1.888888889,12.41459683,594.7083332,2282.194003,16.79482883,19.05954827,0.246152806,3.666666667,MIP,
158,HfMoNbTaZr,0,0,0,0,0,0,0,0,0,20,20,20,20,20,0,0,0,0,10.92817442,-1.12,13.38161053,621.8810016,2395.370077,31.88312174,6.301264119,0.311152696,4.8,BCC,
159,HfMoNbTiZr,0,0,0,0,0,0,0,20,0,20,20,20,20,0,0,0,0,0,8.7,-1.6,13.38,634.561604,2444.2,20.44,5.06,0.31,4.6,BCC,
160,HfMoScTaZr,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,20,0,10.63137486,-1.774900038,13.80392072,619.4447279,2388.84754,24.78169219,8.528087254,0.261710783,4.060827856,BCC,
161,HfMoTaTiZr,0,0,0,0,0,0,0,20,0,0,20,20,20,20,0,0,0,0,10.21042994,-1.92,13.38161053,597.8068035,2302.643987,17.95222497,6.087901644,0.311229819,4.6,BCC,
162,HfNb0.18Ta0.18Ti1.27Zr,0,0,0,0,0,0,0,35,0,5,0,28,28,5,0,0,0,0,8.511396386,0.980655458,11.45272946,532.8091979,2037.139276,26.98105416,4.491803564,0.114630243,4.099722992,BCC,
163,HfNbTaTiVZr,0,0,0,0,0,0,0,16.7,16.7,16.7,0,16.7,16.7,16.7,0,0,0,0,9.529001106,3.280590941,12.9777122,641.7809726,2469.556689,26.81233502,7.166792308,0.257562265,3.660742773,BCC,
164,HfNbTaTiZr,0,0,0,0,0,0,0,20,0,20,0,20,20,20,0,0,0,0,9.9,2.72,13.38,655.02398,2523,12.41,4.01,0.12,4.4,BCC,
165,HfNbTaTiZrMoW,0,0,0,0,0,0,0,14,0,14,14,14,14,14,14,0,0,0,11.08932892,-2.93877551,16.17919618,596.7681774,2323.686817,14.29667975,6.024071519,0.38134563,4.857142857,MIP,
166,HfNbTaTiZrW,0,0,0,0,0,0,0,17,0,17,0,17,17,17,17,0,0,0,11.20730067,-3.222222222,14.8975162,639.1645544,2476.410793,12.7122289,5.720897965,0.354483192,4.666666667,MIP,
167,HfTaTiVZr,0,0,0,0,0,0,0,20,20,0,0,20,20,20,0,0,0,0,10.59024902,1.941484873,13.99325205,656.5153245,2534.599839,14.03314279,6.013600596,0.278714308,3.776475536,BCC,
168,Mo0.1NbTiV0.3Zr,0,0,0,0,0,0,0,29,9,29,3,29,0,0,0,0,0,0,6.614127369,0.795847751,11.62138489,526.645105,2014.87145,33.41088529,6.082539185,0.160399857,4.441176471,BCC,
169,Mo0.3NbTiVZr,0,0,0,0,0,0,0,23,23,23,7,23,0,0,0,0,0,0,6.696356442,-1.254732288,12.82599837,527.7013013,2028.267824,23.52532212,7.007082731,0.197323903,4.604651163,BCC,
170,Mo0.5NbHf0.5ZrTi,0,0,0,0,0,0,0,25,0,25,13,25,13,0,0,0,0,0,7.889823331,-0.25,12.96707842,546.8122337,2102.85867,123.239563,5.730437906,0.258988417,4.5,BCC,
171,Mo0.5NbHf0.5ZrTiSi0.1,0,0,0,0,0,0,0,24,0,24,12,24,12,0,0,2,0,0,7.750207975,-6.472337894,13.60418835,543.450191,2095.086501,4.977789471,6.690756057,0.261445895,4.487804878,BCC,
172,Mo0.5NbHf0.5ZrTiSi0.3,0,0,0,0,0,0,0,23,0,23,12,23,12,0,0,7,0,0,7.491006993,-17.22011898,14.16626487,538.3708719,2080.053791,1.935881409,8.123389588,0.265227435,4.465116279,MIP,
173,Mo0.5NbHf0.5ZrTiSi0.5,0,0,0,0,0,0,0,22,0,22,11,22,11,0,0,11,0,0,7.255465216,-26.07407407,14.42664317,534.1002819,2065.666635,1.294054505,9.173947605,0.267807744,4.444444444,MIP,
174,Mo0.5NbHf0.5ZrTiSi0.7,0,0,0,0,0,0,0,21,0,21,11,21,11,0,0,15,0,0,7.040484702,-33.39067451,14.53503029,530.306829,2051.884324,1.012092293,9.987340405,0.269467056,4.425531915,MIP,
175,Mo0.5NbHf0.5ZrTiSi0.9,0,0,0,0,0,0,0,12,0,24,12,23,23,0,0,6,0,0,6.84348575,-39.45022907,14.55068902,526.8532776,2038.669501,0.852683683,10.63629522,0.270411629,4.408163265,MIP,
176,Mo0.5NbTiV0.3Zr,0,0,0,0,0,0,0,26,8,26,13,26,0,0,0,0,0,0,6.932026792,-1.135734072,12.6484181,540.7452915,2076.985372,26.17293565,6.280554938,0.247688063,4.605263158,BCC,
177,Mo0.5NbTiVZr,0,0,0,0,0,0,0,22,22,22,11,22,0,0,0,0,0,0,6.832962954,-1.777777778,13.14594406,534.0179899,2055.075745,17.21628304,6.969406971,0.228089218,4.666666667,BCC,
178,Mo0.7NbTiV0.3Zr,0,0,0,0,0,0,0,25,8,25,18,25,0,0,0,0,0,0,7.07084407,-1.825,12.79604395,547.3300195,2103.472418,16.66376159,6.331916559,0.271583205,4.675,BCC,
179,Mo0.7NbTiVZr,0,0,0,0,0,0,0,21,21,21,15,21,0,0,0,0,0,0,6.959372709,-2.209144409,13.30882902,540.038201,2079.548597,14.17366073,6.926019286,0.250581939,4.723404255,BCC,
180,Mo1.3NbTiV0.3Zr,0,0,0,0,0,0,0,22,7,22,28,22,0,0,0,0,0,0,7.424872496,-3.194706994,12.72470095,564.6233108,2169.343413,9.728591172,6.375459348,0.312228786,4.847826087,BCC,
181,Mo1.3NbTiVZr,0,0,0,0,0,0,0,19,19,19,25,19,0,0,0,0,0,0,7.287688658,-3.104307583,13.33102043,556.1182839,2141.655076,10.37004708,6.774937147,0.291553089,4.867924528,MIP,
182,Mo1.5NbHfZrTi,0,0,0,0,0,0,0,18,0,18,27,18,18,0,0,0,0,0,8.815544992,-2.644628099,13.2546386,567.5024221,2184.851594,12.31928331,6.336433278,0.338145159,4.727272727,BCC,
183,Mo1.5NbTiV0.3Zr,0,0,0,0,0,0,0,21,6,21,31,21,0,0,0,0,0,0,7.525832041,-3.489583333,12.61433915,569.6419899,2187.699114,8.895613706,6.366013885,0.319847986,4.895833333,BCC,
184,MoNb0.5HfZrTi,0,0,0,0,0,0,0,22,0,11,22,22,22,0,0,0,0,0,8.715853141,-3.358024691,13.14594406,551.8417735,2123.673343,9.38304762,6.252173849,0.326262032,4.555555556,BCC,
185,MoNb1.5HfZrTi,0,0,0,0,0,0,0,18,0,27,18,18,18,0,0,0,0,0,8.690997848,-3.041322314,13.2546386,564.8540131,2174.656946,10.66799013,5.94173945,0.295176093,4.636363636,BCC,
186,MoNbHf0.5ZrTi,0,0,0,0,0,0,0,22,0,22,22,22,11,0,0,0,0,0,8.102239098,-3.950617284,13.14594406,559.0618844,2151.460877,8.068055362,6.098189914,0.310439752,4.666666667,BCC,
187,MoNbHf1.5ZrTi,0,0,0,0,0,0,0,18,0,18,18,18,27,0,0,0,0,0,9.178313444,-2.644628099,13.2546386,558.7155823,2151.022925,12.14973706,6.040284007,0.306386565,4.545454545,BCC,
188,MoNbHfZr0.5Ti,0,0,0,0,0,0,0,22,0,22,22,11,22,0,0,0,0,0,9.002336168,-2.765432099,13.14594406,568.080392,2186.162365,11.6907527,5.864135514,0.313656256,4.666666667,BCC,
189,MoNbHfZr1.5Ti,0,0,0,0,0,0,0,18,0,18,18,27,18,0,0,0,0,0,8.466689624,-3.438016529,13.2546386,551.4011803,2122.866085,9.23739808,6.187199337,0.304185676,4.545454545,BCC,
190,MoNbHfZrTi,0,0,0,0,0,0,0,20,0,20,20,20,20,0,0,0,0,0,8.702267947,-3.2,13.38161053,558.4887336,2151.20329,10.13804735,6.097271121,0.309554519,4.6,BCC,
191,MoNbHfZrTi0.5,0,0,0,0,0,0,0,11,0,22,22,22,22,0,0,0,0,0,9.116872883,-3.75308642,13.14594406,567.322373,2183.24907,8.60403443,6.387950115,0.325898568,4.666666667,BCC,
192,MoNbHfZrTi1.5,0,0,0,0,0,0,0,27,0,18,18,18,18,0,0,0,0,0,8.356539308,-2.776859504,13.2546386,551.3992743,2122.856201,11.4367314,5.842506078,0.295444755,4.545454545,BCC,
193,MoNbTaTi0.25W,0,0,0,0,0,0,0,6,0,24,24,0,0,24,24,0,0,0,13.08270575,-6.14532872,12.70837022,751.8048657,2888.341095,6.537876346,2.48584137,0.363138949,5.411764706,BCC,
194,MoNbTaTi0.5W,0,0,0,0,0,0,0,11,0,22,22,0,0,22,22,0,0,0,9.946702431,-2.864197531,13.14594406,656.2572133,2525.49484,12.84507375,3.687352332,0.249121915,5.111111111,BCC,
195,MoNbTaTi0.75W,0,0,0,0,0,0,0,16,0,21,21,0,0,21,21,0,0,0,9.645668822,-2.703601108,13.33280622,646.9458634,2491.452838,13.63363619,3.745276683,0.245168267,5.052631579,BCC,
196,MoNbTaTiV,0,0,0,0,0,0,0,20,20,20,20,0,0,20,0,0,0,0,9.37,-2.56,13.38,678.12488,2612,13.65,3.34,0.24,5,BCC,
197,MoNbTaTiW,0,0,0,0,0,0,0,20,0,20,20,0,0,20,20,0,0,0,12.85,-4.5,11.53,779.045365,2979.5,7.63,3.49,0.34,5.25,BCC,
198,MoNbTaTiZr,0,0,0,0,0,0,0,20,0,20,20,20,0,20,0,0,0,0,9.143995687,-1.76,13.38161053,620.862216,2391.448376,20.25944186,5.462505288,0.28168067,4.8,MIP,
199,MoNbTaVW,0,0,0,0,0,0,0,0,20,20,20,0,0,20,20,0,0,0,12.36,-4.64,13.38,769.197496,2962.8,8.54,3.21,0.34,5.4,BCC,
200,MoNbTiV0.3Zr,0,0,0,0,0,0,0,23,7,23,23,23,0,0,0,0,0,0,7.25840086,-2.617631152,12.82599837,556.4224189,2138.665021,11.81753032,6.370142047,0.296132452,4.76744186,BCC,
201,NbCrMo0.5Ta0.5TiZr,0,0,12.31,0,0,0,0,11.3,0,22,11.4,21.6,0,21.4,0,0,0,0,7.99,-4.92,14.53,625.078928,2418.4,7.14,7.13,0.22,4.9,MIP,
202,NbMoTaWTi,0,0,0,0,0,0,0,20,0,20,20,0,0,20,20,0,0,0,10.25200388,-3.852643538,13.27188761,683.4276887,2592.485854,9.082164134,4.272994293,0.277910856,5.05622845,BCC,
203,NbMoTaWVCr,0,0,16.67,0,0,0,0,0,16.7,16.7,16.7,0,0,16.7,16.67,0,0,0,9.802023576,-3.900501302,13.28287781,689.9013748,2613.4846,8.874661965,4.172284664,0.275895114,5.075109624,BCC,
204,NbMoTaWVTi,0,0,0,0,0,0,0,16.7,16.7,16.7,16.7,0,0,16.7,16.67,0,0,0,10.96954219,-4.222222222,14.8975162,689.0128364,2669.548345,10.38289649,3.575640761,0.334086649,5.166666667,BCC,
205,NbTaTiVW,0,0,0,0,0,0,0,20,20,20,0,0,0,20,20,0,0,0,9.743678786,-3.886703533,13.62003697,710.7842477,2726.533126,10.88402205,3.91635617,0.280224392,5.182358281,BCC,
206,Ni30Co30Cr10Fe10Al18W2,18,30,10,10,30,0,0,0,0,0,0,0,0,0,2,0,0,0,7.39262667,-12.4432,13.05208317,365.6450006,1406.656565,1.762004548,5.590999885,0.140858085,7.76,MIP,
207,Ni45(FeCoCr)40(AlTi)15,8,13,13,13,45,0,0,8,0,0,0,0,0,0,0,0,0,0,7.432029989,-14.63666667,12.91925854,378.8816252,1456.840901,1.527000664,5.631744257,0.12911663,8.091666667,MIP,
208,TaTiVWZr,0,0,0,0,0,0,0,25,25,0,0,25,0,25,0,0,0,0,8.516164005,-6.974209924,13.50647457,624.8125921,2396.853462,8.106433965,4.183418172,0.2310917,6.101462001,MIP,
209,Ti2ZrHf0.5VNb0.5Al  ,7.14,0,0,0,0,0,0,28.9,14.3,28.6,0,14.3,7.1,0,0,0,0,0,8.575806115,-7.178163715,13.52741363,626.0991016,2401.4468,7.97665899,4.113962336,0.226959719,6.175884939,BCC,
210,Ti2ZrHf0.5VNb0.5Al0.25 ,1.77,0,0,0,0,0,0,25.2,13.4,12.2,0,24,23.5,0,0,0,0,0,8.465487725,-8.184962301,13.58379121,598.1735881,2292.615787,6.903696822,4.351382316,0.211788628,6.48113806,BCC,
211,Ti2ZrHf0.5VNb0.5Al0.5 ,3.48,0,0,0,0,0,0,24.7,13.2,12,0,23.6,23.1,0,0,0,0,0,8.355169335,-8.483279082,13.6094644,595.9256663,2283.493731,6.665220721,4.318852375,0.206338811,6.582627228,BCC,
212,Ti2ZrHf0.5VNb0.5Al0.75 ,16.07,0,0,0,0,0,0,25.7,12.9,25.7,0,12.9,6.4,0,0,0,0,0,8.244850944,-8.781595864,13.63513758,593.6777446,2274.371675,6.426744621,4.286322435,0.200888994,6.684116395,BCC,
213,TiZrHfCr0.2Mo,0,0,5,0,0,0,0,24,0,0,24,24,24,0,0,0,0,0,8.686830363,-4.444444444,12.56917544,542.8538517,2084.462533,6.667480249,7.254736767,0.338068409,4.571428571,BCC,
214,TiZrNbMoTa,0,0,0,0,0,0,0,20,0,20,20,20,0,20,0,0,0,0,7.797613909,-9.480298381,13.52576586,535.0708231,2049.700009,4.373480027,5.214018176,0.214895965,6.616822825,MIP,
215,TiZrNbMoV,0,0,0,0,0,0,0,20,20,20,20,20,0,0,0,0,0,0,7.132233447,-2.72,13.38161053,548.4427053,2112.506076,11.73673546,6.853413663,0.274765354,4.8,BCC,
216,TiZrNbMoV0.25,0,0,0,0,0,0,0,24,6,24,24,24,0,0,0,0,0,0,7.268615152,-2.602076125,12.70837022,557.2221368,2140.77087,11.78943222,6.316335052,0.297856239,4.764705882,BCC,
217,TiZrNbMoV0.5,0,0,0,0,0,0,0,22,11,22,22,22,0,0,0,0,0,0,7.219283319,-2.666666667,13.14594406,553.6381766,2130.583805,11.8497563,6.554204762,0.289524941,4.777777778,BCC,
218,TiZrNbMoV0.75,0,0,0,0,0,0,0,21,16,21,21,21,0,0,0,0,0,0,7.173980851,-2.703601108,13.33280622,550.8012936,2121.192089,11.80769567,6.727569386,0.281855742,4.789473684,BCC,
219,TiZrNbMoV1.5,0,0,0,0,0,0,0,18,27,18,18,18,0,0,0,0,0,0,7.057851752,-2.710743802,13.2546386,544.6716846,2096.955235,11.58902893,7.005904617,0.262054817,4.818181818,BCC,
220,TiZrNbMoV2,0,0,0,0,0,0,0,17,33,17,17,17,0,0,0,0,0,0,6.993560446,-2.666666667,12.97646755,541.7397429,2083.436081,11.46756105,7.071199247,0.250959271,4.833333333,BCC,
221,TiZrNbMoV3,0,0,0,0,0,0,0,14,43,14,14,14,0,0,0,0,0,0,7.32253895,-2.5,11.52629192,561.9698671,2149.25,11.16851582,5.98801153,0.306950729,4.75,BCC,
222,TiZrNbTaMo,0,0,0,0,0,0,0,20,0,20,20,20,0,20,0,0,0,0,6.683931716,-3.475641495,12.63515703,523.0030057,2011.22112,10.99794106,6.770137954,0.274909914,5.043299606,MIP,
223,TiZrNbVMo1.7,0,0,0,0,0,0,0,18,18,18,30,18,0,0,0,0,0,0,7.472144913,-4.702985534,13.15521366,565.3280325,2175.655488,6.849810438,6.665391778,0.306634347,4.947368421,MIP,
224,TiZrNbVMo2.0,0,0,0,0,0,0,0,17,17,17,33,17,0,0,0,0,0,0,7.595944062,-4.777777778,12.97646755,571.5597992,2198.126345,6.711998501,6.581670059,0.314253967,5,MIP,
225,TiZrV0.5Nb0.5Al0.25    ,6.67,0,0,0,0,0,0,26.7,13.3,26.7,0,26.7,0,0,0,0,0,0,6.874482225,-3.373335484,12.61525331,525.3554912,2021.621432,10.21099809,7.022880815,0.29207306,4.889944917,MIP,
226,TiZrV0.5Nb0.5Al0.5   ,12.5,0,0,0,0,0,0,25,12.5,25,0,25,0,0,0,0,0,0,6.681058914,-3.200152155,12.56239408,521.4581921,2007.062512,10.3520748,7.136222778,0.294945941,4.837908343,MIP,
227,TiZrV0.5Nb0.5Al0.75  ,17.65,0,0,0,0,0,0,23.5,11.8,23.5,0,23.5,0,0,0,0,0,0,6.580782289,-1.995020528,12.47788394,533.6799821,2051.261421,10.94054271,7.544883685,0.307828258,4.425199372,MIP,
228,V20Nb20Mo20Ta20W20,0,0,0,0,0,0,0,0,20,20,20,0,0,20,20,0,0,0,6.480505663,-1.701796177,12.42090784,531.6818386,2043.609641,11.13411262,7.69126756,0.311882416,4.331407416,BCC,
229,VCrFeTa0.1W0.1,0,0,31,31,0,0,0,0,31,0,0,0,0,3,3,0,0,0,7.904708836,-4.83203125,10.86752061,498.0660943,1900.073304,4.887706188,3.597630783,0.147477488,6.28125,BCC,
230,VCrFeTa0.2W0.2,0,0,29,29,0,0,0,0,29,0,0,0,0,6,6,0,0,0,8.666826103,-5.148788927,11.74934157,530.1557462,2029.318885,5.254146899,4.168428293,0.183776229,6.235294118,BCC,
231,VCrFeTa0.3W0.3,0,0,28,28,0,0,0,0,28,0,0,0,0,8,8,0,0,0,9.321052015,-5.410493827,12.31867362,556.5607513,2135.04423,5.483003895,4.551487962,0.210254842,6.194444444,MIP,
232,VCrFeTa0.4W0.4,0,0,26,26,0,0,0,0,26,0,0,0,0,11,11,0,0,0,9.888782982,-5.628808864,12.70370305,578.667977,2223.134223,5.633883519,4.820751784,0.230952502,6.157894737,MIP,
233,VNbMoTaW,0,0,0,0,0,0,0,0,20,20,20,0,0,20,20,0,0,0,12.36,-4.64,13.38,769.197496,2962.8,8.54,3.21,0.34,5.4,BCC,
234,W23Mo23V17Cr8Ta7Fe22,0,0,8,22,0,0,0,0,17,0,23,0,0,7,23,0,0,0,10.24548902,-3.300766872,12.10297971,587.4020507,2236.940264,7.264238997,4.900394408,0.251115331,5.608091043,MIP,
235,WMoVCrTa,0,0,20,0,0,0,0,0,20,0,20,0,0,20,20,0,0,0,10.56811098,-3.218416995,12.04751149,590.6680132,2246.671694,7.104512219,4.788542183,0.249130489,5.648368864,MIP,
